Nodes,mobilityRate,replicateRate,churnRate,Query Time,Transfer Time,Requeries,
20,2,0,10,0.000142187,0.498719,5,
20,2,0,10,0.000199313,0.501519,5,
20,2,0,10,7.11307e-005,0.494362,5,
20,2,0,10,0.000142438,0.498732,5,
20,2,0,10,0.000197437,0.501426,5,
20,2,0,10,0.0001283,0.497163,5,
20,2,0,10,0.000142401,0.49873,5,
20,2,0,10,0.00019883,0.501495,5,
20,2,0,10,0.000141903,0.498705,5,
20,2,0,10,0.000141691,0.498694,5,
20,2,0,10,-1,-1,5,
20,2,0,10,0.000198913,0.501499,5,
20,2,0,10,7.10448e-005,0.494357,5,
20,2,0,10,7.1048e-005,0.494357,5,
20,2,0,10,7.01256e-005,0.494311,5,
20,2,0,10,0.000125761,0.497037,5,
20,2,0,10,7.00412e-005,0.494307,5,
Nodes,mobilityRate,replicateRate,churnRate,Query Time,Transfer Time,Requeries,
20,2,0,10,0.000128255,0.497161,5,
20,2,0,10,0.000126032,0.49705,5,
20,2,0,10,0.00014211,0.498715,5,
20,2,0,10,0.000141933,0.498707,5,
20,2,0,10,0.000127631,0.49713,5,
20,2,0,10,-1,-1,5,
20,2,0,10,0.000128237,0.49716,5,
20,2,0,10,7.14522e-005,0.494378,5,
20,2,0,10,0.000127152,0.497106,5,
20,2,0,10,0.000141556,0.498687,5,
20,2,0,10,0.000198648,0.501485,5,
20,2,0,10,0.000142225,0.498721,5,
20,2,0,10,-1,-1,5,
20,2,0,10,0.000127139,0.497106,5,
20,2,0,10,0.000198159,0.501461,5,
20,2,0,10,0.00019888,0.501497,5,
20,2,0,10,-1,-1,5,
Nodes,mobilityRate,replicateRate,churnRate,Query Time,Transfer Time,Requeries,
20,2,0,10,0.000126872,0.497092,5,
20,2,0,10,0.000127718,0.497134,5,
20,2,0,10,7.11913e-005,0.494365,5,
20,2,0,10,0.000125565,0.497027,5,
20,2,0,10,7.09869e-005,0.494354,5,
20,2,0,10,-1,-1,5,
20,2,0,10,0.000127034,0.4971,5,
20,2,0,10,0.000126246,0.497061,5,
20,2,0,10,0.000128038,0.49715,5,
20,2,0,10,0.000127195,0.497108,5,
20,2,0,10,0.000127834,0.49714,5,
20,2,0,10,0.000128169,0.497157,5,
20,2,0,10,0.000125773,0.497038,5,
20,2,0,10,0.000127225,0.49711,5,
20,2,0,10,7.08653e-005,0.494348,5,
20,2,0,10,0.00012729,0.497113,5,
20,2,0,10,-1,-1,5,
